name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,accident_count
"Dubai,United Arab Emirates",09/16/2024,41.9,33,36.4,52.5,40.5,44.6,24.6,51.9,0.1,100,4.17,rain,0,0,72,31.6,91.4,1000.1,44.6,9.9,236.1,20.4,9,30,2024-08-19T05:54:15,2024-08-19T18:50:09,0.5,Rain,Partly cloudy throughout the day with early morning rain.,rain,"OMSJ,41194099999,41194599999,OMDW,OMDB",279
"Dubai,United Arab Emirates",09/17/2024,41,32.8,35.9,55.2,39.2,44.4,24.9,54,0,0,0,,0,0,61.2,35.3,86.3,998.7,19.1,9.2,292.5,25.3,9,30,2024-08-18T05:53:49,2024-08-18T18:51:02,0.45,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",199
"Dubai,United Arab Emirates",09/18/2024,41,33,36.5,52.6,40.1,46.1,25.5,54.4,0,0,0,,0,0,39.6,31.7,88.2,996.1,23.1,9.7,295,25.5,9,38,2024-08-17T05:53:23,2024-08-17T18:51:55,0.42,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",302
"Dubai,United Arab Emirates",09/19/2024,40,34.9,37.5,51.3,40.5,45.3,23.9,46.4,0,0,0,,0,0,19.8,22.3,352.3,995.9,40.4,10,304.3,26.2,10,38,2024-08-16T05:52:57,2024-08-16T18:52:47,0.39,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",308
"Dubai,United Arab Emirates",09/20/2024,43,33.9,37.5,53.4,43.4,47.3,25.3,50.7,0,0,0,,0,0,29.2,24,18.2,998.8,47.6,10,302.7,26,9,38,2024-08-15T05:52:31,2024-08-15T18:53:38,0.36,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",283
"Dubai,United Arab Emirates",09/21/2024,43.9,33.9,37.8,53.4,43.4,47.2,25.2,49.9,0,0,0,,0,0,32.4,25.8,74.7,999.2,2.9,10,303.3,26.2,10,38,2024-08-14T05:52:05,2024-08-14T18:54:28,0.32,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",294
"Dubai,United Arab Emirates",09/22/2024,44,34,38.7,52.9,40.9,46.4,23.8,43.9,0,0,0,,0,0,24.8,24,65.2,998.3,9.7,10,302.9,26.1,10,50,2024-08-13T05:51:38,2024-08-13T18:55:17,0.29,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",310
"Dubai,United Arab Emirates",09/23/2024,43,34.9,38.5,53.3,41.7,46.6,23.9,44.1,0,0,0,,0,0,23.8,25.9,345.5,996.7,21.8,9,304.7,26.4,10,50,2024-08-12T05:51:11,2024-08-12T18:56:06,0.25,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",289
"Dubai,United Arab Emirates",09/24/2024,42,32.9,37,51.5,39.1,44.7,24.1,48.5,0,0,0,,0,0,35.3,24.1,54.6,997.7,24.6,10,289,25.2,9,38,2024-08-11T05:50:45,2024-08-11T18:56:53,0.22,Cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",225
"Dubai,United Arab Emirates",09/25/2024,42.9,32,36.5,53.4,37.8,44.4,24.3,50.9,0,0,0,,0,0,41.8,27.7,83,999.5,49,10,300.8,26,9,38,2024-08-10T05:50:17,2024-08-10T18:57:40,0.19,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",307
"Dubai,United Arab Emirates",09/26/2024,42,32.9,36.6,51.1,39.2,44.4,24.3,50.5,0,0,0,,0,0,46.4,29.4,89.1,999.1,19.2,10,303,26.2,10,75,2024-08-09T05:49:50,2024-08-09T18:58:25,0.16,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",294
"Dubai,United Arab Emirates",09/27/2024,42.9,33,37.1,54.9,40.5,46.1,25,50.9,0,0,0,,0,0,41.8,25.9,91.3,997.1,17.4,10,303,26.1,10,75,2024-08-08T05:49:23,2024-08-08T18:59:10,0.13,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",296
"Dubai,United Arab Emirates",09/28/2024,40,34,36.8,49.8,40.5,45.3,24.6,50.3,0,0,0,,0,0,25.6,22.3,35.4,997.2,58.2,10,290.5,25,9,75,2024-08-07T05:48:55,2024-08-07T18:59:54,0.09,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",260
"Dubai,United Arab Emirates",09/29/2024,39,32,36,48,34.9,42.7,23.4,49,0.3,100,4.17,rain,0,0,38.9,22.3,232.8,997.3,71.2,10,283.2,24.3,9,30,2024-08-06T05:48:27,2024-08-06T19:00:36,0.06,Rain,Partly cloudy throughout the day with early morning rain.,rain,"OMSJ,41194099999,41194599999,OMDW,OMDB",277
"Dubai,United Arab Emirates",09/30/2024,41,33,36.5,57.7,43.7,49.5,27.3,60.2,0.1,100,4.17,rain,0,0,36.4,29.5,76.2,995.5,27.2,8.6,276.8,23.8,10,75,2024-08-05T05:47:59,2024-08-05T19:01:18,0.03,Rain,Partly cloudy throughout the day with late afternoon rain.,rain,"OMSJ,41194099999,41194599999,OMDW,OMDB",317
"Dubai,United Arab Emirates",10/01/2024,39,33.8,35.8,55,45.2,50.3,28.2,65.5,0,0,0,,0,0,22,22.4,242.9,994.6,35.8,9.6,283.4,24.6,9,38,2024-08-04T05:47:31,2024-08-04T19:01:59,0,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",241
"Dubai,United Arab Emirates",10/02/2024,41.9,34,37.2,61.6,48,53.4,28.7,62.7,0,0,0,,0,0,23.8,22.3,296.3,993.7,49.5,8.9,266.8,23.1,8,38,2024-08-03T05:47:03,2024-08-03T19:02:38,0.96,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",283
"Dubai,United Arab Emirates",10/03/2024,40,34,36.9,57.8,46.6,51.8,28.1,61.6,0,0,0,,0,0,29.5,20.5,264.5,993.5,29.8,7.6,297,25.6,9,38,2024-08-02T05:46:35,2024-08-02T19:03:17,0.92,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",256
"Dubai,United Arab Emirates",10/04/2024,43.9,36,39.3,52.7,42.2,47.1,23.2,42.3,0,0,0,,0,0,32.8,22.2,300.1,995.3,15.1,9.1,294.5,25.4,10,38,2024-08-01T05:46:06,2024-08-01T19:03:54,0.89,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",281
"Dubai,United Arab Emirates",10/05/2024,43,34.9,38.6,52.2,40.5,45.6,22.9,41.8,0,0,0,,0,0,39.2,23.9,84.8,996.1,28,7.5,267.3,23.2,9,30,2024-07-31T05:45:38,2024-07-31T19:04:30,0.85,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",337
"Dubai,United Arab Emirates",10/06/2024,44.9,33.9,38.8,53.8,43.9,47.7,25.8,50.2,0,0,0,,0,0,30.6,27.7,98.6,993.7,2.9,7.8,231.9,19.9,9,60,2024-07-30T05:45:09,2024-07-30T19:05:06,0.82,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",289
"Dubai,United Arab Emirates",10/07/2024,41,33,36.3,52.9,38,45.9,25.3,54.1,0,0,0,,0,0,28.1,22.4,230.6,992.3,18.5,9.2,316.8,27.2,10,38,2024-07-29T05:44:40,2024-07-29T19:05:39,0.78,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",300
"Dubai,United Arab Emirates",10/08/2024,39,33,36.6,52.1,40.5,46.5,25.7,54.1,0,0,0,,0,0,42.1,26,246.3,994.3,79.8,10,285.4,24.6,9,30,2024-07-28T05:44:12,2024-07-28T19:06:12,0.75,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",247
"Dubai,United Arab Emirates",10/09/2024,42,33.9,37.9,51,34.3,42.1,20.5,37.1,0,0,0,,0,0,33.5,26,247.1,995.4,34.8,10,324.1,28.1,10,30,2024-07-27T05:43:43,2024-07-27T19:06:44,0.71,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",283
"Dubai,United Arab Emirates",10/10/2024,42,32,37.6,48.3,37.8,43.3,22,43.5,0,0,0,,0,0,27.4,22.3,240.5,993.7,25,10,325.5,28.1,10,15,2024-07-26T05:43:14,2024-07-26T19:07:14,0.67,Cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",270
"Dubai,United Arab Emirates",10/11/2024,42,32.9,37.6,48.5,32.5,40.4,18.6,34.3,0,0,0,,0,0,25.6,25.9,242.7,991.9,41.7,10,326.8,28.2,10,15,2024-07-25T05:42:45,2024-07-25T19:07:44,0.64,Cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",300
"Dubai,United Arab Emirates",10/12/2024,41,31.9,36.3,50.1,39.7,45.4,24.7,55,0,0,0,,0,0,30.2,22.3,231.8,993.2,34.2,10,320.4,27.6,10,30,2024-07-24T05:42:16,2024-07-24T19:08:12,0.6,Cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",248
"Dubai,United Arab Emirates",10/13/2024,39.9,33.9,36.5,57.7,48.6,52.3,28.6,64.8,0,0,0,,0,0,21.6,24,266.6,995.4,26.2,8.1,308.8,26.7,10,38,2024-07-23T05:41:48,2024-07-23T19:08:39,0.57,Cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",312
"Dubai,United Arab Emirates",10/14/2024,40,34.9,36.8,61.8,49.4,54.8,29.4,66.4,0,0,0,,0,0,21.2,25.8,338.1,994.9,8.2,6.1,317.3,27.3,10,38,2024-07-22T05:41:19,2024-07-22T19:09:04,0.53,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",271
"Dubai,United Arab Emirates",10/15/2024,40,34.9,37.1,60.4,51.5,56.3,29.9,67.3,0,0,0,,0,0,23,24,326.4,994.5,6.3,6.4,316.6,27.4,10,38,2024-07-21T05:40:51,2024-07-21T19:09:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",262
"Dubai,United Arab Emirates",10/16/2024,42,33.9,36.5,61.6,49.3,53.9,29.3,67.5,0,0,0,,0,0,18.7,27.6,341.4,993.2,16.5,7.2,304.9,26.4,10,38,2024-07-20T05:40:22,2024-07-20T19:09:52,0.46,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",276
"Dubai,United Arab Emirates",10/17/2024,40,33,36.4,57.7,47.9,52,28.6,65.2,0,0,0,,0,0,16.2,22.2,263.3,992.9,17.2,8.5,305.4,26.4,10,38,2024-07-19T05:39:54,2024-07-19T19:10:14,0.43,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",315
"Dubai,United Arab Emirates",10/18/2024,40.9,34,37.1,54.1,38.9,48.6,26,55.1,0,0,0,,0,0,25.2,24.1,240.1,995.3,14.8,7.2,281.2,24.2,9,38,2024-07-18T05:39:26,2024-07-18T19:10:34,0.4,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",295
"Dubai,United Arab Emirates",10/19/2024,42.9,34.9,37.8,56.3,45.7,51.8,27.4,56.9,0,0,0,,0,0,25.6,24.1,313.3,996.2,6.6,9.2,300.6,26.2,10,38,2024-07-17T05:38:58,2024-07-17T19:10:54,0.37,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",256
"Dubai,United Arab Emirates",10/20/2024,44.9,34.9,39.4,61.6,44.5,49.6,25,46,0,0,0,,0,0,35.3,24.2,38.9,995.7,11.7,9,309.7,26.9,10,38,2024-07-16T05:38:30,2024-07-16T19:11:12,0.34,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",294
"Dubai,United Arab Emirates",10/21/2024,39,33.8,36.6,60.1,45.7,52.7,28.6,64.6,0,0,0,,0,0,20.5,22.3,322.7,994.8,3.1,6.2,325.2,28,10,38,2024-07-15T05:38:02,2024-07-15T19:11:29,0.3,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",280
"Dubai,United Arab Emirates",10/22/2024,43.1,34.8,38,51,36.1,43.6,21.9,40.4,0,0,0,,0,0,19.4,22.2,319.5,993.6,5.6,8.1,329.6,28.5,10,38,2024-07-14T05:37:35,2024-07-14T19:11:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",213
"Dubai,United Arab Emirates",10/23/2024,43,32.9,37.6,49.2,41.9,45.5,23.7,48.8,0,0,0,,0,0,24.8,20.5,236.2,993.8,41.5,8.9,327.8,28.2,10,30,2024-07-13T05:37:08,2024-07-13T19:11:59,0.24,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",264
"Dubai,United Arab Emirates",10/24/2024,42,34.9,37.4,51.2,41.7,46,24.6,49,0,0,0,,0,0,28.1,24.2,238.1,995.3,17.2,8.9,321.5,27.9,10,38,2024-07-12T05:36:41,2024-07-12T19:12:12,0.21,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",303
"Dubai,United Arab Emirates",10/25/2024,41,36,38.2,51.2,40.8,46.1,23.9,44.7,0,0,0,,0,0,34.9,25.8,303,998.5,12.9,8.2,311.4,26.8,9,38,2024-07-11T05:36:15,2024-07-11T19:12:23,0.17,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",295
"Dubai,United Arab Emirates",10/26/2024,42,34.9,38.5,52.5,40.7,45.4,22.9,42,0,0,0,,0,0,29.2,22.4,60.5,999,16.9,9,323.2,27.8,10,38,2024-07-10T05:35:49,2024-07-10T19:12:34,0.14,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",285
"Dubai,United Arab Emirates",10/27/2024,46,34.9,39.9,58.2,41.8,47.1,23.8,41.2,0,0,0,,0,0,40.3,31.6,61.7,996.8,16.2,9.2,318.1,27.4,10,38,2024-07-09T05:35:23,2024-07-09T19:12:43,0.11,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDB",285
"Dubai,United Arab Emirates",10/28/2024,42,34.9,38.3,50.2,38.4,42.9,20.4,37.7,0,0,0,,0,0,22.3,24,336.4,994.8,39.9,9.9,324.8,28.1,10,38,2024-07-08T05:34:58,2024-07-08T19:12:51,0.08,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",327
"Dubai,United Arab Emirates",10/29/2024,42.9,33.9,37.7,45.9,40.3,42.6,21.2,40.9,0,0,0,,0,0,20.9,25.8,312.2,993.8,36,9.9,329.7,28.5,10,30,2024-07-07T05:34:33,2024-07-07T19:12:58,0.04,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",253
"Dubai,United Arab Emirates",10/30/2024,40,31.8,36,47.2,38.6,43.8,23.8,53.4,0,0,0,,0,0,25.6,20.5,228.1,993.3,62,9.7,307.3,26.5,9,30,2024-07-06T05:34:09,2024-07-06T19:13:03,0,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",275
"Dubai,United Arab Emirates",10/31/2024,39,31,35.4,48.5,32.3,41.6,22.9,49.3,0,0,0,,0,0,26.3,22.3,230.1,994.7,80.2,10,290,25.1,9,30,2024-07-05T05:33:45,2024-07-05T19:13:08,0.98,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",319
"Dubai,United Arab Emirates",11/01/2024,39,32.9,35.6,53.6,39,44.8,25.3,55.6,0,0,0,,0,0,41.4,27.7,237.3,994.9,2,10,327.5,28.1,10,30,2024-07-04T05:33:22,2024-07-04T19:13:11,0.94,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",333
"Dubai,United Arab Emirates",11/02/2024,41,32,36.6,56.8,39.3,47.4,25.9,55.4,0,0,0,,0,0,44.3,24.2,248.6,992.2,4,8.9,328.3,28.5,10,38,2024-07-03T05:32:59,2024-07-03T19:13:12,0.91,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",309
"Dubai,United Arab Emirates",11/03/2024,43.9,32.8,37,46.9,32.8,40.2,18.6,36.7,0,0,0,,0,0,31,23.9,251.7,991.9,42.7,10,330.9,28.5,10,15,2024-07-02T05:32:37,2024-07-02T19:13:13,0.87,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",330
"Dubai,United Arab Emirates",11/04/2024,39,31.9,35.4,47.4,35.7,42.1,23.6,51.5,0,0,0,,0,0,24.1,21.8,240.3,994.6,23.1,8.8,317.8,27.5,10,30,2024-07-01T05:32:16,2024-07-01T19:13:12,0.83,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",307
"Dubai,United Arab Emirates",11/05/2024,40.9,32.8,36.2,45,38.5,41.6,22,46.3,0,0,0,,0,0,24.8,25.8,249,996,24.5,9.9,329.5,28.6,10,30,2024-06-30T05:31:55,2024-06-30T19:13:10,0.8,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",272
"Dubai,United Arab Emirates",11/06/2024,39.9,32.9,36.1,51.8,43.1,46.3,25.8,56.8,0,0,0,,0,0,27.4,25.8,306.1,994.7,44,9.2,299.8,25.9,9,30,2024-06-29T05:31:35,2024-06-29T19:13:07,0.75,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",295
"Dubai,United Arab Emirates",11/07/2024,39,32.8,36.7,52,39.1,43.4,23.2,47,0,0,0,,0,0,20.2,23.9,339.9,994.7,27,9.6,331.6,28.7,10,15,2024-06-28T05:31:15,2024-06-28T19:13:03,0.73,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",331
"Dubai,United Arab Emirates",11/08/2024,40,31.8,36.8,46.8,33.9,41,20.7,40.7,0,0,0,,0,0,20.2,20.4,265.9,994.5,40.4,10,335.3,28.8,10,60,2024-06-27T05:30:57,2024-06-27T19:12:58,0.69,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",335
"Dubai,United Arab Emirates",11/09/2024,44.9,32,37.3,49.6,40.6,45,23.3,49.8,0,0,0,,0,0,29.2,33,249,993.4,13,8.6,337.2,29,10,60,2024-06-26T05:30:39,2024-06-26T19:12:52,0.65,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",320
"Dubai,United Arab Emirates",11/10/2024,43,33,38.1,44.8,34.6,41.1,18.9,35.1,0,0,0,,0,0,25.6,24.1,261.2,995.2,4.7,10,335.8,28.9,10,38,2024-06-25T05:30:22,2024-06-25T19:12:44,0.62,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",316
"Dubai,United Arab Emirates",11/11/2024,46,34.8,39.4,52.2,37.9,43.7,20.2,34.7,0,0,0,,0,0,25.2,24.1,330.8,997.2,7.1,9.7,335.3,28.9,10,38,2024-06-24T05:30:05,2024-06-24T19:12:35,0.58,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",314
"Dubai,United Arab Emirates",11/12/2024,46.9,33.8,39.5,51.2,41.3,45.7,21.4,40.5,0,0,0,,0,0,23.4,22.1,351,997,6.3,8.9,337.5,29,10,38,2024-06-23T05:29:50,2024-06-23T19:12:26,0.55,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",230
"Dubai,United Arab Emirates",11/13/2024,44,32.9,38,50.7,43.5,47,24.6,50,0,0,0,,0,0,20.9,27.6,345.4,995.3,0.2,8.6,334.7,28.8,10,38,2024-06-22T05:29:35,2024-06-22T19:12:15,0.5,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",293
"Dubai,United Arab Emirates",11/14/2024,43,33.9,38.1,54.7,38.2,45.3,23.1,43.7,0,0,0,,0,0,17.6,24,290.9,995.4,12.4,8.8,330,28.6,10,38,2024-06-21T05:29:22,2024-06-21T19:12:03,0.48,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",296
"Dubai,United Arab Emirates",11/15/2024,41,33,36.9,51.2,35.6,43.4,22.6,45.1,0,0,0,,0,0,25.6,20.3,226.5,996.1,22.9,10,330.5,28.6,10,38,2024-06-20T05:29:09,2024-06-20T19:11:50,0.44,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999",340
